DATE--TIME -UWS- UWD -LWS- LWD --SGM-- --DELTA-- ---AMB-- --DEW--- -PRECIP
0601130300 999.9 999 000.7 167 +0022.4 +09999.99 +09999.9 +09999.9 +0000.00
0601130400 999.9 999 000.5 183 +0046.3 +09999.99 +09999.9 +09999.9 +0000.00
0601130500 999.9 999 000.8 157 +0032.3 +09999.99 +09999.9 +09999.9 +0000.00
0601130600 999.9 999 000.8 172 +0022.9 +09999.99 +09999.9 +09999.9 +0000.00
0601130700 999.9 999 000.8 193 +0067.3 +09999.99 +09999.9 +09999.9 +0000.00
0601130800 999.9 999 000.9 164 +0022.5 +09999.99 +09999.9 +09999.9 +0000.00
0601130900 999.9 999 000.6 177 +0046.0 +09999.99 +09999.9 +09999.9 +0000.00
0601131000 999.9 999 000.9 351 +0096.8 +09999.99 +09999.9 +09999.9 +0000.00
0601131100 999.9 999 002.0 136 +0073.3 +09999.99 +09999.9 +09999.9 +0000.00
0601131200 999.9 999 003.3 337 +0023.3 +09999.99 +09999.9 +09999.9 +0000.00
0601131300 999.9 999 002.3 329 +0025.9 +09999.99 +09999.9 +09999.9 +0000.00
0601131400 999.9 999 001.3 058 +0081.4 +09999.99 +09999.9 +09999.9 +0000.01
0601131500 999.9 999 001.7 273 +0074.3 +09999.99 +09999.9 +09999.9 +0000.32
0601131600 999.9 999 001.4 154 +0089.5 +09999.99 +09999.9 +09999.9 +0000.26
0601131700 999.9 999 005.6 153 +0031.4 +09999.99 +09999.9 +09999.9 +0000.27
0601131800 999.9 999 004.9 156 +0048.7 +09999.99 +09999.9 +09999.9 +0000.02
0601131900 999.9 999 004.1 295 +0079.4 +09999.99 +09999.9 +09999.9 +0000.00
0601132000 999.9 999 006.1 292 +0049.4 +09999.99 +09999.9 +09999.9 +0000.00
