DATE--TIME -UWS- UWD -LWS- LWD --SGM-- --DELTA-- ---AMB-- --DEW--- -PRECIP
0601031900 999.9 999 001.4 149 +0021.0 +09999.99 +09999.9 +09999.9 +0000.00
0601032000 999.9 999 001.5 149 +0048.9 +09999.99 +09999.9 +09999.9 +0000.00
0601032100 999.9 999 000.8 159 +0043.8 +09999.99 +09999.9 +09999.9 +0000.00
0601032200 999.9 999 001.2 155 +0047.1 +09999.99 +09999.9 +09999.9 +0000.00
0601032300 999.9 999 001.4 160 +0040.4 +09999.99 +09999.9 +09999.9 +0000.00
0601032400 999.9 999 001.1 162 +0048.5 +09999.99 +09999.9 +09999.9 +0000.00
0601040100 999.9 999 000.9 170 +0029.2 +09999.99 +09999.9 +09999.9 +0000.00
0601040200 999.9 999 001.2 171 +0020.1 +09999.99 +09999.9 +09999.9 +0000.00
0601040300 999.9 999 001.1 143 +0036.9 +09999.99 +09999.9 +09999.9 +0000.00
0601040400 999.9 999 001.6 136 +0033.3 +09999.99 +09999.9 +09999.9 +0000.00
0601040500 999.9 999 001.6 134 +0029.2 +09999.99 +09999.9 +09999.9 +0000.00
0601040600 999.9 999 001.8 137 +0017.7 +09999.99 +09999.9 +09999.9 +0000.00
0601040700 999.9 999 001.8 138 +0022.1 +09999.99 +09999.9 +09999.9 +0000.00
0601040800 999.9 999 001.7 134 +0025.0 +09999.99 +09999.9 +09999.9 +0000.00
0601040900 999.9 999 001.6 147 +0021.5 +09999.99 +09999.9 +09999.9 +0000.00
0601041000 999.9 999 001.7 114 +0018.4 +09999.99 +09999.9 +09999.9 +0000.00
0601041100 999.9 999 000.6 100 +0055.5 +09999.99 +09999.9 +09999.9 +0000.00
0601041200 999.9 999 003.1 137 +0036.7 +09999.99 +09999.9 +09999.9 +0000.00
0601041300 999.9 999 003.2 196 +0074.6 +09999.99 +09999.9 +09999.9 +0000.00
0601041400 999.9 999 003.3 196 +0085.1 +09999.99 +09999.9 +09999.9 +0000.00
0601041500 999.9 999 002.6 214 +0079.5 +09999.99 +09999.9 +09999.9 +0000.00
0601041600 999.9 999 002.6 169 +0062.4 +09999.99 +09999.9 +09999.9 +0000.00
0601041700 999.9 999 001.8 161 +0071.6 +09999.99 +09999.9 +09999.9 +0000.00
0601041800 999.9 999 000.8 140 +0044.3 +09999.99 +09999.9 +09999.9 +0000.00
0601041900 999.9 999 001.4 161 +0055.5 +09999.99 +09999.9 +09999.9 +0000.00
0601042000 999.9 999 001.4 157 +0020.6 +09999.99 +09999.9 +09999.9 +0000.00
0601042100 999.9 999 001.1 160 +0018.1 +09999.99 +09999.9 +09999.9 +0000.00
0601042200 999.9 999 001.1 153 +0020.2 +09999.99 +09999.9 +09999.9 +0000.00
0601042300 999.9 999 000.9 150 +0059.0 +09999.99 +09999.9 +09999.9 +0000.00
0601042400 999.9 999 001.3 150 +0030.9 +09999.99 +09999.9 +09999.9 +0000.00
0601050100 999.9 999 001.1 155 +0039.9 +09999.99 +09999.9 +09999.9 +0000.00
0601050200 999.9 999 000.9 147 +0050.6 +09999.99 +09999.9 +09999.9 +0000.00
0601050300 999.9 999 001.0 159 +0043.7 +09999.99 +09999.9 +09999.9 +0000.00
0601050400 999.9 999 001.0 157 +0039.4 +09999.99 +09999.9 +09999.9 +0000.00
0601050500 999.9 999 000.9 179 +0054.4 +09999.99 +09999.9 +09999.9 +0000.00
0601050600 999.9 999 001.3 154 +0027.4 +09999.99 +09999.9 +09999.9 +0000.00
0601050700 999.9 999 001.2 156 +0029.8 +09999.99 +09999.9 +09999.9 +0000.00
0601050800 999.9 999 001.5 156 +0032.7 +09999.99 +09999.9 +09999.9 +0000.00
0601050900 999.9 999 001.7 138 +0033.0 +09999.99 +09999.9 +09999.9 +0000.00
0601051000 999.9 999 001.2 119 +0046.5 +09999.99 +09999.9 +09999.9 +0000.00
0601051100 999.9 999 001.0 113 +0044.9 +09999.99 +09999.9 +09999.9 +0000.00
0601051200 999.9 999 001.6 034 +0082.2 +09999.99 +09999.9 +09999.9 +0000.00
0601051300 999.9 999 003.4 115 +0053.3 +09999.99 +09999.9 +09999.9 +0000.00
0601051400 999.9 999 005.0 144 +0031.9 +09999.99 +09999.9 +09999.9 +0000.00
0601051500 999.9 999 004.8 167 +0066.7 +09999.99 +09999.9 +09999.9 +0000.00
0601051600 999.9 999 005.8 292 +0041.6 +09999.99 +09999.9 +09999.9 +0000.00
0601051700 999.9 999 003.4 288 +0065.8 +09999.99 +09999.9 +09999.9 +0000.00
0601051800 999.9 999 001.7 179 +0077.2 +09999.99 +09999.9 +09999.9 +0000.00
0601051900 999.9 999 004.7 003 +0031.7 +09999.99 +09999.9 +09999.9 +0000.00
0601052000 999.9 999 004.1 018 +0022.0 +09999.99 +09999.9 +09999.9 +0000.00
0601052100 999.9 999 005.3 011 +0026.6 +09999.99 +09999.9 +09999.9 +0000.00
0601052200 999.9 999 004.1 019 +0024.1 +09999.99 +09999.9 +09999.9 +0000.00
0601052300 999.9 999 002.2 093 +0040.5 +09999.99 +09999.9 +09999.9 +0000.00
0601052400 999.9 999 004.7 015 +0028.2 +09999.99 +09999.9 +09999.9 +0000.00
0601060100 999.9 999 005.5 001 +0023.3 +09999.99 +09999.9 +09999.9 +0000.00
0601060200 999.9 999 004.4 012 +0024.9 +09999.99 +09999.9 +09999.9 +0000.00
0601060300 999.9 999 004.4 004 +0024.9 +09999.99 +09999.9 +09999.9 +0000.00
0601060400 999.9 999 004.0 006 +0027.0 +09999.99 +09999.9 +09999.9 +0000.00
0601060500 999.9 999 001.8 024 +0027.5 +09999.99 +09999.9 +09999.9 +0000.00
0601060600 999.9 999 001.7 142 +0031.8 +09999.99 +09999.9 +09999.9 +0000.00
0601060700 999.9 999 001.5 155 +0017.8 +09999.99 +09999.9 +09999.9 +0000.00
0601060800 999.9 999 001.3 159 +0028.4 +09999.99 +09999.9 +09999.9 +0000.00
0601060900 999.9 999 001.4 142 +0029.8 +09999.99 +09999.9 +09999.9 +0000.00
0601061000 999.9 999 001.8 128 +0020.0 +09999.99 +09999.9 +09999.9 +0000.00
0601061100 999.9 999 003.6 352 +0061.9 +09999.99 +09999.9 +09999.9 +0000.00
0601061200 999.9 999 005.2 330 +0032.2 +09999.99 +09999.9 +09999.9 +0000.00
0601061300 999.9 999 003.8 345 +0040.9 +09999.99 +09999.9 +09999.9 +0000.00
0601061400 999.9 999 002.6 348 +0065.1 +09999.99 +09999.9 +09999.9 +0000.00
0601061500 999.9 999 003.1 317 +0056.9 +09999.99 +09999.9 +09999.9 +0000.00
0601061600 999.9 999 002.7 297 +0040.1 +09999.99 +09999.9 +09999.9 +0000.00
0601061700 999.9 999 008.0 305 +0019.4 +09999.99 +09999.9 +09999.9 +0000.00
0601061800 999.9 999 010.7 328 +0019.2 +09999.99 +09999.9 +09999.9 +0000.00
0601061900 999.9 999 008.2 319 +0018.6 +09999.99 +09999.9 +09999.9 +0000.00
0601062000 999.9 999 005.1 327 +0066.1 +09999.99 +09999.9 +09999.9 +0000.00
0601062100 999.9 999 008.9 325 +0021.3 +09999.99 +09999.9 +09999.9 +0000.00
0601062200 999.9 999 008.1 314 +0016.8 +09999.99 +09999.9 +09999.9 +0000.00
0601062300 999.9 999 006.3 306 +0018.7 +09999.99 +09999.9 +09999.9 +0000.00
0601062400 999.9 999 004.8 286 +0067.3 +09999.99 +09999.9 +09999.9 +0000.00
0601070100 999.9 999 002.1 148 +0021.4 +09999.99 +09999.9 +09999.9 +0000.00
0601070200 999.9 999 002.4 146 +0016.4 +09999.99 +09999.9 +09999.9 +0000.00
0601070300 999.9 999 001.8 156 +0020.8 +09999.99 +09999.9 +09999.9 +0000.00
0601070400 999.9 999 001.3 148 +0029.2 +09999.99 +09999.9 +09999.9 +0000.00
0601070500 999.9 999 001.5 153 +0031.6 +09999.99 +09999.9 +09999.9 +0000.00
0601070600 999.9 999 001.4 153 +0035.6 +09999.99 +09999.9 +09999.9 +0000.00
0601070700 999.9 999 001.6 141 +0027.9 +09999.99 +09999.9 +09999.9 +0000.00
0601070800 999.9 999 001.7 152 +0042.8 +09999.99 +09999.9 +09999.9 +0000.00
0601070900 999.9 999 001.5 135 +0047.9 +09999.99 +09999.9 +09999.9 +0000.00
0601071000 999.9 999 001.7 114 +0048.0 +09999.99 +09999.9 +09999.9 +0000.00
0601071100 999.9 999 002.4 149 +0047.2 +09999.99 +09999.9 +09999.9 +0000.00
0601071200 999.9 999 002.8 151 +0075.1 +09999.99 +09999.9 +09999.9 +0000.00
0601071300 999.9 999 003.8 267 +0066.0 +09999.99 +09999.9 +09999.9 +0000.00
0601071400 999.9 999 004.0 170 +0049.0 +09999.99 +09999.9 +09999.9 +0000.00
0601071500 999.9 999 002.9 208 +0079.0 +09999.99 +09999.9 +09999.9 +0000.00
